             pitch        yaw    tick            steamid  name
2044076  -7.727509 -13.848267  204411  76561198386265483  donk
2044086  -7.754974 -14.095459  204412  76561198386265483  donk
2044096  -7.754974 -14.315521  204413  76561198386265483  donk
2044106  -7.754974 -14.563065  204414  76561198386265483  donk
2044116  -7.754974 -14.838074  204415  76561198386265483  donk
2044126  -7.700043 -15.085602  204416  76561198386265483  donk
2044136  -7.645111 -15.415527  204417  76561198386265483  donk
2044146  -7.617645 -15.663071  204418  76561198386265483  donk
2044156  -7.562714 -15.938080  204419  76561198386265483  donk
2044166  -7.535248 -16.158142  204420  76561198386265483  donk
2044176  -7.479980 -16.378204  204421  76561198386265483  donk
2044186  -7.452515 -16.598282  204422  76561198386265483  donk
2044196  -7.370117 -16.983154  204423  76561198386265483  donk
2044206  -7.260254 -17.423279  204424  76561198386265483  donk
2044216  -7.177505 -17.835617  204425  76561198386265483  donk
2044226  -7.150040 -18.110626  204426  76561198386265483  donk
2044236  -7.122574 -18.303223  204427  76561198386265483  donk
2044246  -7.095108 -18.523285  204428  76561198386265483  donk
2044256  -7.040176 -18.770477  204429  76561198386265483  donk
2044266  -6.985245 -19.018021  204430  76561198386265483  donk
2044276  -6.929962 -19.238098  204431  76561198386265483  donk
2044286  -6.902496 -19.348297  204432  76561198386265483  donk
2044296  -6.847565 -19.485626  204433  76561198386265483  donk
2044306  -6.820099 -19.623291  204434  76561198386265483  donk
2044316  -6.765167 -19.815552  204435  76561198386265483  donk
2044326  -6.737701 -20.035629  204436  76561198386265483  donk
2044336  -6.682434 -20.228241  204437  76561198386265483  donk
